time,angle,vel,accel,dis,turn_point
7.42,-10.4530,0.9031,1.8788,-0.7060,0
7.44,-9.3770,0.9371,1.6979,-0.6873,0
7.46,-8.2709,0.9673,1.5109,-0.6680,0
7.48,-7.1349,0.9937,1.3181,-0.6481,0
7.50,-5.9690,1.0161,1.1194,-0.6278,0
7.52,-4.7849,1.0344,0.9171,-0.6071,0
7.54,-3.5826,1.0486,0.7112,-0.5861,0
7.56,-2.3679,1.0587,0.5028,-0.5649,0
7.58,-1.1465,1.0646,0.2930,-0.5436,0
7.60,0.0759,1.0663,0.0828,-0.5223,0
7.62,1.2934,1.0638,-0.1265,-0.5010,0
7.64,2.5062,1.0571,-0.3349,-0.4799,0
7.66,3.7027,1.0463,-0.5403,-0.4590,0
7.68,4.8832,1.0314,-0.7428,-0.4384,0
7.70,6.0419,1.0126,-0.9412,-0.4181,0
7.72,7.1790,0.9899,-1.1356,-0.3983,0
7.74,8.2831,0.9634,-1.3240,-0.3790,0
7.76,9.3543,0.9333,-1.5064,-0.3603,0
7.78,10.3873,0.8997,-1.6820,-0.3423,0
7.80,11.3762,0.8627,-1.8498,-0.3250,0
7.82,12.3214,0.8225,-2.0099,-0.3085,0
7.84,13.2172,0.7793,-2.1606,-0.2929,0
7.86,14.0583,0.7332,-2.3039,-0.2782,0
7.88,14.8446,0.6845,-2.4370,-0.2645,0
7.90,15.5710,0.6333,-2.5603,-0.2518,0
7.92,16.2373,0.5798,-2.6738,-0.2402,0
7.94,16.8383,0.5243,-2.7767,-0.2297,0
7.96,17.3742,0.4669,-2.8693,-0.2204,0
7.98,17.8394,0.4079,-2.9508,-0.2122,0
8.00,18.2400,0.3475,-3.0223,-0.2053,0
8.02,18.5647,0.2859,-3.0821,-0.1996,0
8.04,18.8196,0.2233,-3.1313,-0.1951,0
8.06,19.0048,0.1599,-3.1699,-0.1919,0
8.08,19.1149,0.0960,-3.1972,-0.1900,0
8.10,19.1502,0.0317,-3.2132,-0.1894,0
8.12,19.1108,-0.0327,-3.2179,-0.1901,1
8.14,18.9970,-0.0969,-3.2112,-0.1920,0
8.16,18.8150,-0.1608,-3.1928,-0.1952,0
8.18,18.5591,-0.2240,-3.1614,-0.1997,0
8.20,18.2299,-0.2863,-3.1172,-0.2054,0
8.22,17.8332,-0.3475,-3.0609,-0.2124,0
8.24,17.3636,-0.4073,-2.9918,-0.2205,0
8.26,16.8328,-0.4655,-2.9115,-0.2298,0
8.28,16.2354,-0.5219,-2.8192,-0.2402,0
8.30,15.5773,-0.5762,-2.7159,-0.2517,0
8.32,14.8588,-0.6282,-2.6014,-0.2643,0
8.34,14.0801,-0.6777,-2.4759,-0.2779,0
8.36,13.2473,-0.7245,-2.3402,-0.2924,0
8.38,12.3662,-0.7684,-2.1954,-0.3078,0
8.40,11.4370,-0.8092,-2.0416,-0.3240,0
8.42,10.4658,-0.8468,-1.8796,-0.3409,0
8.44,9.4583,-0.8810,-1.7106,-0.3585,0
8.46,8.4147,-0.9117,-1.5347,-0.3767,0
8.48,7.3409,-0.9388,-1.3528,-0.3955,0
8.50,6.2370,-0.9621,-1.1651,-0.4147,0
8.52,5.1146,-0.9816,-0.9736,-0.4343,0
8.54,3.9738,-0.9972,-0.7785,-0.4542,0
8.56,2.8202,-1.0088,-0.5808,-0.4744,0
8.58,1.6542,-1.0164,-0.3807,-0.4947,0
8.60,0.4869,-1.0200,-0.1802,-0.5151,0
8.62,-0.6814,-1.0196,0.0207,-0.5355,0
8.64,-1.8452,-1.0152,0.2207,-0.5558,0
8.66,-2.9987,-1.0068,0.4189,-0.5759,0
